t,px,py,pz,vx,vy,vz,ax,ay,az,yaw
53.800000000000004,1.8553997993420488,-7.226305111525731,-10,0.7567369016989202,-1.3764993141587314,0,nan,nan,nan,0
53.9,1.9317928331971537,-7.363556304227106,-10,0.7711098129884895,-1.3684994543605769,0,nan,nan,nan,0
54.0,2.009618943233418,-7.499999999999996,-10,0.7853981633974478,-1.3603495231756635,0,nan,nan,nan,0
54.1,2.088869594940846,-7.635621236255568,-10,0.7996003860471569,-1.3520504143357883,0,nan,nan,nan,0
54.2,2.1695360975924025,-7.770405140596956,-10,0.8137149235038587,-1.3436030379317578,0,nan,nan,nan,0
54.300000000000004,2.2516096051970447,-7.904336932450169,-10,0.8277402279494644,-1.335008320313588,0,nan,nan,nan,0
54.4,2.3350811174697697,-8.037401924684941,-10,0.8416747613512892,-1.3262672039889207,0,nan,nan,nan,0
54.5,2.4199414808186397,-8.169585525225406,-10,0.8555169956307215,-1.3173806475196619,0,nan,nan,nan,0
54.6,2.5061813893485105,-8.300873238650166,-10,0.8692654128307825,-1.308349625416872,0,nan,nan,nan,0
54.7,2.5937913858815733,-8.431250667781958,-10,0.8829185052825945,-1.2991751280338952,0,nan,nan,nan,0
54.800000000000004,2.6827618629944414,-8.560703515266479,-10,0.8964747757707162,-1.2898581614577564,0,nan,nan,nan,0
54.9,2.773083064071683,-8.689217585140177,-10,0.9099327376973209,-1.2803997473988342,0,nan,nan,nan,0
55.0,2.8647450843757873,-8.816778784387095,-10,0.9232909152452282,-1.270800923078815,0,nan,nan,nan,0
55.1,2.9577378721332828,-8.943373124484237,-10,0.9365478435397357,-1.2610627411169557,0,nan,nan,nan,0
55.2,3.0520512296370548,-9.068986722935621,-10,0.949702068809264,-1.2511862694146478,0,nan,nan,nan,0
55.300000000000004,3.1476748143646507,-9.193605804794654,-10,0.9627521485447788,-1.2411725910383098,0,nan,nan,nan,0
55.4,3.244598140112398,-9.31721670417465,-10,0.9756966516579728,-1.2310228041006226,0,nan,nan,nan,0
55.5,3.3428105781454356,-9.439805865747557,-10,0.988534158638212,-1.2207380216400983,0,nan,nan,nan,0
55.6,3.4423013583631636,-9.56135984623035,-10,1.00126326170819,-1.2103193714990337,0,nan,nan,nan,0
55.7,3.54305957048037,-9.68186531585926,-10,1.0138825649783092,-1.1997679961998253,0,nan,nan,nan,0
55.800000000000004,3.645074165223658,-9.801309059851585,-10,1.0263906845997606,-1.1890850528196768,0,nan,nan,nan,0
55.9,3.748333955543105,-9.919677979854775,-10,1.0387862489162734,-1.1782717128637168,0,nan,nan,nan,0
56.0,3.852827617839086,-10.036959095382873,-10,1.0510678986145363,-1.1673291621365254,0,nan,nan,nan,0
56.1,3.9585436932039872,-10.153139545239915,-10,1.0632342868732576,-1.1562586006121014,0,nan,nan,nan,0
56.2,4.065470588678826,-10.268206588930331,-10,1.0752840795108614,-1.145061242302271,0,nan,nan,nan,0
56.300000000000004,4.173596578524569,-10.382147608056105,-10,1.0872159551317968,-1.1337383151235538,0,nan,nan,nan,0
56.4,4.282909805507945,-10.494950107700477,-10,1.099028605271441,-1.122291060762515,0,nan,nan,nan,0
56.5,4.393398282201785,-10.606601717798211,-10,1.1107207345395913,-1.1107207345395917,0,nan,nan,nan,0
56.6,4.505049892299516,-10.717090194492048,-10,1.122291060762514,-1.0990286052714417,0,nan,nan,nan,0
56.7,4.6178523919439005,-10.826403421475435,-10,1.1337383151235543,-1.0872159551317961,0,nan,nan,nan,0
56.800000000000004,4.731793411069676,-10.934529411321178,-10,1.1450612423022712,-1.0752840795108607,0,nan,nan,nan,0
56.9,4.846860454760083,-11.04145630679601,-10,1.1562586006121012,-1.0632342868732578,0,nan,nan,nan,0
57.0,4.963040904617124,-11.14717238216091,-10,1.167329162136525,-1.0510678986145365,0,nan,nan,nan,0
57.1,5.080322020145221,-11.251666044456892,-10,1.1782717128637166,-1.0387862489162738,0,nan,nan,nan,0
57.2,5.198690940148426,-11.354925834776353,-10,1.189085052819678,-1.0263906845997597,0,nan,nan,nan,0
57.300000000000004,5.318134684140741,-11.456940429519632,-10,1.1997679961998253,-1.013882564978309,0,nan,nan,nan,0
57.400000000000006,5.438640153769658,-11.55769864163684,-10,1.2103193714990341,-1.0012632617081894,0,nan,nan,nan,0
57.5,5.560194134252432,-11.657189421854559,-10,1.2207380216400978,-0.9885341586382131,0,nan,nan,nan,0
57.6,5.682783295825342,-11.755401859887595,-10,1.231022804100622,-0.9756966516579737,0,nan,nan,nan,0
57.7,5.806394195205353,-11.852325185635356,-10,1.2411725910383105,-0.962752148544778,0,nan,nan,nan,0
57.800000000000004,5.93101327706438,-11.947948770362947,-10,1.251186269414648,-0.9497020688092639,0,nan,nan,nan,0
57.900000000000006,6.05662687551577,-12.042262127866723,-10,1.2610627411169562,-0.9365478435397351,0,nan,nan,nan,0
58.0,6.183221215612901,-12.13525491562421,-10,1.2708009230788149,-0.9232909152452285,0,nan,nan,nan,0
58.1,6.310782414859819,-12.226916935928315,-10,1.280399747398834,-0.9099327376973212,0,nan,nan,nan,0
58.2,6.439296484733529,-12.317238137005564,-10,1.2898581614577571,-0.8964747757707154,0,nan,nan,nan,0
58.300000000000004,6.568749332218047,-12.406208614118432,-10,1.2991751280338957,-0.8829185052825941,0,nan,nan,nan,0
58.400000000000006,6.699126761349849,-12.493818610651498,-10,1.3083496254168727,-0.869265412830781,0,nan,nan,nan,0
58.5,6.830414474774596,-12.58005851918136,-10,1.3173806475196619,-0.8555169956307214,0,nan,nan,nan,0
58.6,6.962598075315055,-12.66491888253023,-10,1.3262672039889207,-0.8416747613512895,0,nan,nan,nan,0
58.7,7.0956630675498324,-12.748390394802957,-10,1.3350083203135883,-0.8277402279494642,0,nan,nan,nan,0
58.800000000000004,7.229594859403045,-12.8304639024076,-10,1.343603037931758,-0.8137149235038585,0,nan,nan,nan,0
58.900000000000006,7.364378763744433,-12.911130405059156,-10,1.3520504143357885,-0.7996003860471568,0,nan,nan,nan,0
59.0,7.499999999999993,-12.990381056766577,-10,1.360349523175663,-0.7853981633974491,0,nan,nan,nan,0
59.1,7.6364436957728845,-13.068207166802841,-10,1.3684994543605764,-0.7711098129884905,0,nan,nan,nan,0
59.2,7.773694888474271,-13.144600200657953,-10,1.3764993141587316,-0.75673690169892,0,nan,nan,nan,0
59.300000000000004,7.911738526964193,-13.219551780974886,-10,1.384348225295352,-0.7422810056804285,0,nan,nan,nan,0
59.400000000000006,8.050559473202082,-13.293053688468225,-10,1.3920453270488826,-0.7277437101849175,0,nan,nan,nan,0
59.5,8.190142503906795,-13.365097862825516,-10,1.3995897753453763,-0.7131266093906597,0,nan,nan,nan,0
59.6,8.330472312226089,-13.435676403591193,-10,1.4069807428510608,-0.6984313062274746,0,nan,nan,nan,0
59.7,8.471533509415092,-13.504781571032904,-10,1.4142174190630599,-0.6836594122009563,0,nan,nan,nan,0
59.800000000000004,8.613310626523917,-13.572405786990297,-10,1.421299010398277,-0.6688125472157487,0,nan,nan,nan,0
59.900000000000006,8.755788116093992,-13.638541635706034,-10,1.4282247402804198,-0.6538923393979065,0,nan,nan,nan,0
60.0,8.898950353862986,-13.703181864639008,-10,1.4349938492251597,-0.6389004249163548,0,nan,nan,nan,0
60.1,9.042781640478296,-13.766319385259719,-10,1.441605594923423,-0.6238384478034541,0,nan,nan,nan,0
60.2,9.187266203218464,-13.827947273827512,-10,1.448059252322784,-0.6087080597747326,0,nan,nan,nan,0
60.300000000000004,9.332388197722992,-13.888058772149922,-10,1.4543541137069826,-0.5935109200477418,0,nan,nan,nan,0
60.400000000000006,9.478131709729844,-13.946647288323778,-10,1.460489488773533,-0.578248695160105,0,nan,nan,nan,0
60.5,9.624480756820502,-14.003706397458028,-10,1.4664647047094175,-0.562923058786776,0,nan,nan,nan,0
60.6,9.77141929017277,-14.059229842378372,-10,1.472279106264876,-0.5475356915564846,0,nan,nan,nan,0
60.7,9.91893119632063,-14.113211534313383,-10,1.4779320558252553,-0.5320882808674463,0,nan,nan,nan,0
60.800000000000004,10.067000298921254,-14.165645553562216,-10,1.4834229334809323,-0.516582520702321,0,nan,nan,nan,0
60.900000000000006,10.215610360528958,-14.216526150143789,-10,1.488751137095297,-0.5010201114424448,0,nan,nan,nan,0
61.0,10.364745084375787,-14.265847744427303,-10,1.4939160823707778,-0.48540275968136687,0,nan,nan,nan,0
61.1,10.5143881161587,-14.313604927744153,-10,1.4989172029129232,-0.46973217803769657,0,nan,nan,nan,0
61.2,10.66452304583293,-14.35979246298101,-10,1.5037539502925072,-0.45401008496730394,0,nan,nan,nan,0
61.300000000000004,10.815133409411569,-14.404405285154148,-10,1.5084257941056753,-0.43823820457486595,0,nan,nan,nan,0
61.400000000000006,10.966202690771013,-14.447438501964871,-10,1.5129322220321055,-0.422418266424802,0,nan,nan,nan,0
61.5,11.117714323462192,-14.488887394336025,-10,1.5172727398911938,-0.4065520053516021,0,nan,nan,nan,0
61.6,11.269651692527184,-14.528747416929468,-10,1.5214468716962435,-0.39064116126959064,0,nan,nan,nan,0
61.7,11.421998136321282,-14.56701419864454,-10,1.525454159706663,-0.37468747898212157,0,nan,nan,nan,0
61.800000000000004,11.574736948340176,-14.603683543097405,-10,1.5292941644781657,-0.3586927079902353,0,nan,nan,nan,0
61.900000000000006,11.727851379051865,-14.63875142908121,-10,1.5329664649109538,-0.3426586023008212,0,nan,nan,nan,0
62.0,11.881324637733602,-14.672214011007084,-10,1.536470658295903,-0.3265869202342533,0,nan,nan,nan,0
62.1,12.035139894313117,-14.70406761932583,-10,1.5398063603587195,-0.310479424231579,0,nan,nan,nan,0
62.2,12.189280281214131,-14.73430876093033,-10,1.542973205302082,-0.2943378806612552,0,nan,nan,nan,0
62.300000000000004,12.343728895206254,-14.76293411953863,-10,1.5459708458457553,-0.2781640596254292,0,nan,nan,nan,0
62.400000000000006,12.498468799258472,-14.789940556057575,-10,1.5487989532646738,-0.2619597347658412,0,nan,nan,nan,0
62.5,12.653483024396534,-14.815325108927064,-10,1.551457217424989,-0.24572668306931955,0,nan,nan,nan,0
62.6,12.808754571563826,-14.839084994444825,-10,1.55394534681808,-0.22946668467291004,0,nan,nan,nan,0
62.7,12.964266413485438,-14.861217607071653,-10,1.5562630685925198,-0.21318152266867157,0,nan,nan,nan,0
62.800000000000004,13.120001496535444,-14.881720519717168,-10,1.5584101285839977,-0.19687298290813515,0,nan,nan,nan,0
62.900000000000006,13.275942742607013,-14.900591484005949,-10,1.5603862913431905,-0.18054285380646592,0,nan,nan,nan,0
63.0,13.432073050985187,-14.9178284305241,-10,1.5621913401615823,-0.16419292614634656,0,nan,nan,nan,0
63.1,13.588375300222276,-14.9334294690462,-10,1.5638250770952287,-0.14782499288158638,0,nan,nan,nan,0
63.2,13.744832350015276,-14.947392888742566,-10,1.5652873229864652,-0.13144084894051908,0,nan,nan,nan,0
63.300000000000004,13.901427043085523,-14.959717158366871,-10,1.5665779174835515,-0.11504229102916451,0,nan,nan,nan,0
63.400000000000006,14.058142207060301,-14.970400926424073,-10,1.5676967190582567,-0.09863111743418841,0,nan,nan,nan,0
63.5,14.21496065635585,-14.979443021318609,-10,1.5686436050213812,-0.08220912782571398,0,nan,nan,nan,0
63.6,14.371865194062002,-14.986842451482875,-10,1.5694184715362083,-0.06577812305996217,0,nan,nan,nan,0
63.7,14.528838613828075,-14.992598405485975,-10,1.5700212336298927,-0.04933990498176339,0,nan,nan,nan,0
63.800000000000004,14.68586370174965,-14.996710252122682,-10,1.5704518252027784,-0.03289627622697316,0,nan,nan,nan,0
63.900000000000006,14.84292323825632,-14.999177540482682,-10,1.5707101990356473,-0.0164490400247873,0,nan,nan,nan,0
64.0,14.999999999999996,-15.0,-10,1.5707963267948963,-2.885506040582684e-16,0,nan,nan,nan,0
64.1,15.157076761743674,-14.999177540482682,-10,1.5707101990356473,0.01644904002478672,0,nan,nan,nan,0
64.2,15.314136298250359,-14.996710252122682,-10,1.5704518252027784,0.03289627622697397,0,nan,nan,nan,0
64.30000000000001,15.471161386171932,-14.992598405485973,-10,1.5700212336298924,0.0493399049817642,0,nan,nan,nan,0
64.4,15.628134805937993,-14.986842451482875,-10,1.5694184715362083,0.06577812305996159,0,nan,nan,nan,0
64.5,15.78503934364416,-14.979443021318607,-10,1.568643605021381,0.0822091278257148,0,nan,nan,nan,0
64.6,15.941857792939706,-14.970400926424073,-10,1.5676967190582567,0.09863111743418922,0,nan,nan,nan,0
64.7,16.09857295691447,-14.959717158366871,-10,1.5665779174835515,0.11504229102916391,0,nan,nan,nan,0
64.80000000000001,16.255167649984745,-14.947392888742565,-10,1.5652873229864652,0.1314408489405213,0,nan,nan,nan,0
64.9,16.411624699777718,-14.9334294690462,-10,1.5638250770952287,0.1478249928815858,0,nan,nan,nan,0
65.0,16.567926949014794,-14.917828430524102,-10,1.5621913401615823,0.16419292614634456,0,nan,nan,nan,0
65.1,16.724057257392996,-14.900591484005947,-10,1.5603862913431905,0.1805428538064667,0,nan,nan,nan,0
65.2,16.879998503464563,-14.881720519717168,-10,1.5584101285839977,0.1968729829081359,0,nan,nan,nan,0
65.30000000000001,17.035733586514567,-14.861217607071653,-10,1.5562630685925198,0.21318152266867238,0,nan,nan,nan,0
65.4,17.191245428436183,-14.839084994444823,-10,1.5539453468180797,0.22946668467291084,0,nan,nan,nan,0
65.5,17.34651697560346,-14.815325108927066,-10,1.551457217424989,0.24572668306931902,0,nan,nan,nan,0
65.6,17.501531200741535,-14.789940556057573,-10,1.5487989532646735,0.26195973476584195,0,nan,nan,nan,0
65.7,17.656271104793753,-14.762934119538627,-10,1.545970845845755,0.27816405962543,0,nan,nan,nan,0
65.80000000000001,17.810719718785865,-14.73430876093033,-10,1.542973205302082,0.29433788066125466,0,nan,nan,nan,0
65.9,17.964860105686903,-14.704067619325825,-10,1.5398063603587189,0.3104794242315811,0,nan,nan,nan,0
66.0,18.11867536226639,-14.672214011007084,-10,1.536470658295903,0.32658692023425273,0,nan,nan,nan,0
66.1,18.27214862094813,-14.638751429081212,-10,1.532966464910954,0.3426586023008206,0,nan,nan,nan,0
66.2,18.425263051659844,-14.603683543097402,-10,1.5292941644781655,0.35869270799023745,0,nan,nan,nan,0
66.30000000000001,18.57800186367871,-14.567014198644541,-10,1.525454159706663,0.374687478982121,0,nan,nan,nan,0
66.4,18.730348307472823,-14.528747416929466,-10,1.521446871696243,0.39064116126959136,0,nan,nan,nan,0
66.5,18.882285676537816,-14.488887394336023,-10,1.5172727398911938,0.40655200535160285,0,nan,nan,nan,0
66.6,19.03379730922898,-14.447438501964873,-10,1.5129322220321058,0.4224182664248015,0,nan,nan,nan,0
66.7,19.184866590588438,-14.404405285154146,-10,1.5084257941056751,0.43823820457486673,0,nan,nan,nan,0
66.80000000000001,19.335476954167078,-14.359792462981009,-10,1.5037539502925072,0.45401008496730466,0,nan,nan,nan,0
66.9,19.485611883841308,-14.313604927744151,-10,1.498917202912923,0.46973217803769735,0,nan,nan,nan,0
67.0,19.63525491562421,-14.265847744427305,-10,1.493916082370778,0.4854027596813663,0,nan,nan,nan,0
67.1,19.78438963947105,-14.216526150143785,-10,1.4887511370952966,0.5010201114424456,0,nan,nan,nan,0
67.2,19.932999701078753,-14.165645553562214,-10,1.4834229334809323,0.5165825207023219,0,nan,nan,nan,0
67.30000000000001,20.08106880367938,-14.11321153431338,-10,1.477932055825255,0.5320882808674471,0,nan,nan,nan,0
67.4,20.228580709827227,-14.059229842378373,-10,1.472279106264876,0.5475356915564841,0,nan,nan,nan,0
67.5,20.375519243179493,-14.003706397458032,-10,1.466464704709418,0.5629230587867754,0,nan,nan,nan,0
67.6,20.521868290270174,-13.946647288323769,-10,1.460489488773532,0.578248695160107,0,nan,nan,nan,0
67.7,20.667611802277,-13.888058772149922,-10,1.4543541137069826,0.5935109200477412,0,nan,nan,nan,0
67.80000000000001,20.812733796781544,-13.827947273827508,-10,1.4480592523227835,0.6087080597747334,0,nan,nan,nan,0
67.9,20.957218359521725,-13.76631938525971,-10,1.441605594923422,0.6238384478034562,0,nan,nan,nan,0
68.0,21.101049646136996,-13.703181864639017,-10,1.4349938492251606,0.6389004249163531,0,nan,nan,nan,0
68.1,21.244211883906015,-13.63854163570603,-10,1.4282247402804196,0.6538923393979073,0,nan,nan,nan,0
68.2,21.386689373476102,-13.572405786990288,-10,1.421299010398276,0.6688125472157507,0,nan,nan,nan,0
